11区	(11 qū)
卡夫	(kǎ fū)
卡夫卡	(kǎ fū kǎ)
卡关	(kǎ guān)
卡介苗	(kǎ jiè miáo)
卡壳	(qiǎ ké)
卡扣	(qiǎ kòu)
卡拉	(kǎ lā)
卡拉OK	(kǎ lā o k)
卡拉比拉	(kǎ lā bǐ lā)
卡拉布里亚	(kǎ lā bù lǐ yà)
卡拉季奇	(kǎ lā jì qí)
卡拉胶	(kǎ lā jiāo)
卡拉卡斯	(kǎ lā kǎ sī)
卡拉马佐夫兄弟	(kǎ lā mǎ zuǒ fū xiōng dì)
卡拉姆昌德	(kǎ lā mǔ chāng dé)
卡拉奇	(kǎ lā qí)
卡拉什尼科夫	(kǎ lā shí ní kē fū)
卡啦	(kǎ lā)
卡乐星	(kǎ lè xīng)
卡利多尼亚	(kǎ lì duō ní yà)
卡利卡特	(kǎ lì kǎ tè)
卡利科	(kǎ lì kē)
卡利亚里	(kǎ lì yà lǐ)
卡路里	(kǎ lù lǐ)
卡罗利纳	(kǎ luó lì nà)
卡洛驰	(kǎ luò chí)
卡洛娜	(kǎ luò nà)
卡洛斯	(kǎ luò sī)
卡骆驰	(kǎ luò chí)
卡梅伦	(kǎ méi lún)
卡美拉	(kǎ měi lā)
卡美洛	(kǎ měi luò)
卡门	(kǎ mén)
卡纳达语	(kǎ nà dá yǔ)
卡纳蕾	(kǎ nà lěi)
卡纳塔克邦	(kǎ nà tǎ kè bāng)
卡纳维尔角	(kǎ nà wéi ěr jiǎo)
卡纳维拉尔角	(kǎ nà wéi lā ěr jiǎo)
卡内基	(kǎ nèi jī)
卡内基梅隆大学	(kǎ nèi jī méi lóng dà xué)
卡尼丁	(kǎ ní dīng)
卡农	(kǎ nóng)
卡侬头	(kǎ nóng tóu)
卡奴	(kǎ nú)
卡帕	(kǎ pà)
卡牌	(kǎ pái)
卡盘	(qiǎ pán)
卡片	(kǎ piàn)
卡片机	(kǎ piàn jī)
卡其	(kǎ qí)
卡秋莎	(kǎ qiū shā)
卡若区	(kǎ ruò qū)
卡萨布兰卡	(kǎ sà bù lán kǎ)
卡萨诺瓦	(kǎ sà nuò wǎ)
卡桑德拉	(kǎ sāng dé lā)
卡森城	(kǎ sēn chéng)
卡珊德拉	(kǎ shān dé lā)
卡士达	(kǎ shì dá)
卡仕达	(kǎ shì dá)
卡式	(kǎ shì)
卡式炉	(kǎ shì lú)
卡司	(kǎ sī)
卡斯翠	(kǎ sī cuì)
卡斯蒂利亚	(kǎ sī dì lì yà)
卡斯蒂利亚·莱昂	(kǎ sī dì lì yà · lái áng)
卡斯蒂利亚语	(kǎ sī dì lì yà yǔ)
卡斯特里	(kǎ sī tè lǐ)
卡斯特利翁	(kǎ sī tè lì wēng)
卡斯特罗	(kǎ sī tè luó)
卡死	(kǎ sǐ)
卡榫	(kǎ sǔn)
卡他	(kǎ tā)
卡塔尔	(kǎ tǎ ěr)
卡塔赫纳	(kǎ tǎ hè nà)
卡塔尼亚	(kǎ tǎ ní yà)
卡痰	(kǎ tán)
卡特	(kǎ tè)
卡特彼勒公司	(kǎ tè bǐ lè gōng sī)
卡特尔	(kǎ tè ěr)
卡通	(kǎ tōng)
卡瓦格博峰	(kǎ wǎ gé bó fēng)
卡瓦斯	(kǎ wǎ sī)
卡哇伊	(kǎ wā yī)
卡哇依	(kǎ wā yī)
卡位	(kǎ wèi)
卡文迪什	(kǎ wén dí shí)
卡西米尔效应	(kǎ xī mǐ ěr xiào yìng)
卡西莫夫	(kǎ xī mò fū)
卡西尼	(kǎ xī ní)
卡西欧	(kǎ xī ōu)
卡仙尼	(kǎ xiān ní)
卡宴	(kǎ yàn)
卡债	(kǎ zhài)
卡纸	(kǎ zhǐ)
卡住	(kǎ zhù)
卡子	(qiǎ zi)
卡座	(kǎ zuò)
佧	(kǎ)
佧佤族	(kǎ wǎ zú)
揩	(kāi)
揩擦	(kāi cā)
揩拭	(kāi shì)
揩油	(kāi yóu)
剀	(kǎi)
剀切	(kǎi qiè)
凯	(kǎi)
凯彻	(kǎi chè)
凯达格兰	(kǎi dá gé lán)
凯达格兰族	(kǎi dá gé lán zú)
凯迪拉克	(kǎi dí lā kè)
凯蒂	(kǎi dì)
凯蒂猫	(kǎi dì māo)
凯恩斯	(kǎi ēn sī)
凯尔特人	(kǎi ěr tè rén)
凯法劳尼亚	(kǎi fǎ láo ní yà)
凯夫拉	(kǎi fū lā)
凯芙拉	(kǎi fú lā)
凯歌	(kǎi gē)
凯里市	(kǎi lǐ shì)
凯利	(kǎi lì)
凯林赛	(kǎi lín sài)
凯门鳄	(kǎi mén è)
凯尼恩	(kǎi ní ēn)
凯茜·弗里曼	(kǎi xī fú lǐ màn)
凯撒	(kǎi sā)
凯撒酱	(kǎi sā jiàng)
凯撒肋雅	(kǎi sā lèi yǎ)
凯瑟琳	(kǎi sè lín)
凯特	(kǎi tè)
凯文	(kǎi wén)
凯旋	(kǎi xuán)
凯旋门	(kǎi xuán mén)
凯悦	(kǎi yuè)
凯子	(kǎi zi)
垲	(kǎi)
恺	(kǎi)
恺彻	(kǎi chè)
恺弟	(kǎi tì)
恺撒	(kǎi sā)
恺悌	(kǎi tì)
慨	(kǎi)
慨叹	(kǎi tàn)
楷	(kǎi)
楷模	(kǎi mó)
楷书	(kǎi shū)
楷体	(kǎi tǐ)
楷字	(kǎi zì)
忾	(kài)
欬	(kài)
嘅	(gě)
刊	(kān)
刊登	(kān dēng)
刊发	(kān fā)
刊号	(kān hào)
刊首语	(kān shǒu yǔ)
刊头	(kān tóu)
刊物	(kān wù)
刊误	(kān wù)
刊误表	(kān wù biǎo)
刊行	(kān xíng)
刊印	(kān yìn)
刊载	(kān zǎi)
刊正	(kān zhèng)
勘	(kān)
勘测	(kān cè)
勘查	(kān chá)
勘察	(kān chá)
勘察加	(kān chá jiā)
勘察加半岛	(kān chá jiā bàn dǎo)
勘定	(kān dìng)
勘界	(kān jiè)
勘探	(kān tàn)
勘误	(kān wù)
勘误表	(kān wù biǎo)
勘验	(kān yàn)
勘正	(kān zhèng)
堪	(kān)
堪比	(kān bǐ)
堪察加	(kān chá jiā)
堪察加半岛	(kān chá jiā bàn dǎo)
堪察加柳莺	(kān chá jiā liǔ yīng)
堪称	(kān chēng)
堪培拉	(kān péi lā)
堪萨斯	(kān sà sī)
堪忧	(kān yōu)
堪虞	(kān yú)
堪舆	(kān yú)
戡	(kān)
坎	(kǎn)
坎贝尔	(kǎn bèi ěr)
坎贝尔侏儒仓鼠	(kǎn bèi ěr zhū rú cāng shǔ)
坎城	(kǎn chéng)
坎大哈	(kǎn dà hā)
坎大哈省	(kǎn dà hā shěng)
坎德拉	(kǎn dé lā)
坎儿	(kǎn r)
坎儿井	(kǎn r jǐng)
坎肩	(kǎn jiān)
坎肩儿	(kǎn jiān r)
坎坎	(kǎn kǎn)
坎坷	(kǎn kě)
坎坷不平	(kǎn kě bù píng)
坎坷多舛	(kǎn kě duō chuǎn)
坎昆	(kǎn kūn)
坎𡒄	(kǎn lǎn)
坎帕拉	(kǎn pà lā)
坎培拉	(kǎn péi lā)
坎炁	(kǎn qì)
坎塔布里亚	(kǎn tǎ bù lǐ yà)
坎塔布连	(kǎn tǎ bù lián)
坎塔布连海	(kǎn tǎ bù lián hǎi)
坎塔布连山脉	(kǎn tǎ bù lián shān mài)
坎特伯雷	(kǎn tè bó léi)
坎特伯雷故事集	(kǎn tè bó léi gù shì jí)
坎子	(kǎn zi)
侃	(kǎn)
侃大山	(kǎn dà shān)
侃价	(kǎn jià)
侃侃	(kǎn kǎn)
侃侃而谈	(kǎn kǎn ér tán)
侃星	(kǎn xīng)
侃爷	(kǎn yé)
欿	(kǎn)
欿然	(kǎn rán)
歁	(kǎn)
槛	(jiàn)
槛车	(jiàn chē)
槛花笼鹤	(jiàn huā lóng hè)
崁顶	(kǎn dǐng)
崁顶乡	(kǎn dǐng xiāng)
墈	(kàn)
康	(kāng)
康巴	(kāng bā)
康巴藏区	(kāng bā zàng qū)
康巴地区	(kāng bā dì qū)
康白度	(kāng bái dù)
康拜因	(kāng bài yīn)
康保县	(kāng bǎo xiàn)
康德	(kāng dé)
康定市	(kāng dìng shì)
康复	(kāng fù)
康佳	(kāng jiā)
康健	(kāng jiàn)
康康舞	(kāng kāng wǔ)
康科德	(kāng kē dé)
康乐	(kāng lè)
康乐县	(kāng lè xiàn)
康马县	(kāng mǎ xiàn)
康乃狄克	(kāng nǎi dí kè)
康乃馨	(kāng nǎi xīn)
康奈尔	(kāng nài ěr)
康奈尔大学	(kāng nài ěr dà xué)
康涅狄格	(kāng niè dí gé)
康平	(kāng píng)
康平县	(kāng píng xiàn)
康普茶	(kāng pǔ chá)
康乾盛世	(kāng qián shèng shì)
康乾宗迦峰	(kāng qián zōng jiā fēng)
康强	(kāng qiáng)
康桥	(kāng qiáo)
康区	(kāng qū)
康衢	(kāng qú)
康生	(kāng shēng)
康思维恩格	(kāng sī wéi ēn gé)
康斯坦察	(kāng sī tǎn chá)
康斯坦茨	(kāng sī tǎn cí)
康泰	(kāng tài)
康托尔	(kāng tuō ěr)
康熙	(kāng xī)
康县	(kāng xiàn)
康庄大道	(kāng zhuāng dà dào)
慷	(kāng)
慷慨	(kāng kǎi)
慷慨赴义	(kāng kǎi fù yì)
慷慨激昂	(kāng kǎi jī áng)
慷慨解囊	(kāng kǎi jiě náng)
慷慨捐生	(kāng kǎi juān shēng)
慷慨输将	(kāng kǎi shū jiāng)
槺	(kāng)
扛	(káng)
扛把子	(káng bǎ zi)
亢	(kàng)
亢奋	(kàng fèn)
亢旱	(kàng hàn)
亢进	(kàng jìn)
亢直	(kàng zhí)
伉	(kàng)
伉俪	(kàng lì)
伉俪情深	(kàng lì qíng shēn)
抗	(kàng)
抗癌	(kàng ái)
抗辩	(kàng biàn)
抗病	(kàng bìng)
抗病毒	(kàng bìng dú)
抗病毒药	(kàng bìng dú yào)
抗敌	(kàng dí)
抗毒素	(kàng dú sù)
抗旱	(kàng hàn)
抗核加固	(kàng hé jiā gù)
抗衡	(kàng héng)
抗洪	(kàng hóng)
抗坏血酸	(kàng huài xuè suān)
抗击	(kàng jī)
抗精神病	(kàng jīng shén bìng)
抗拒	(kàng jù)
抗锯齿	(kàng jù chǐ)
抗捐	(kàng juān)
抗菌	(kàng jūn)
抗菌素	(kàng jūn sù)
抗菌药	(kàng jūn yào)
抗抗生素	(kàng kàng shēng sù)
抗涝	(kàng lào)
抗礼	(kàng lǐ)
抗利尿激素	(kàng lì niào jī sù)
抗美援朝	(kàng měi yuán cháo)
抗命	(kàng mìng)
抗母	(kàng mǔ)
抗耐甲氧西林金葡菌	(kàng nài jiǎ yǎng xī lín jīn pú jūn)
抗凝血剂	(kàng níng xuè jì)
抗倾覆	(kàng qīng fù)
抗日	(kàng rì)
抗日战争	(kàng rì zhàn zhēng)
抗生素	(kàng shēng sù)
抗水	(kàng shuǐ)
抗税	(kàng shuì)
抗诉	(kàng sù)
抗体	(kàng tǐ)
抗性	(kàng xìng)
抗血清	(kàng xuè qīng)
抗压	(kàng yā)
抗炎性	(kàng yán xìng)
抗氧化剂	(kàng yǎng huà jì)
抗药	(kàng yào)
抗药能力	(kàng yào néng lì)
抗药性	(kàng yào xìng)
抗议	(kàng yì)
抗议者	(kàng yì zhě)
抗抑郁药	(kàng yì yù yào)
抗疫	(kàng yì)
抗忧郁药	(kàng yōu yù yào)
抗原	(kàng yuán)
抗原决定簇	(kàng yuán jué dìng cù)
抗灾	(kàng zāi)
抗战	(kàng zhàn)
抗震	(kàng zhèn)
抗震结构	(kàng zhèn jié gòu)
抗震救灾指挥部	(kàng zhèn jiù zāi zhǐ huī bù)
抗争	(kàng zhēng)
抗直	(kàng zhí)
抗组胺剂	(kàng zǔ àn jì)
抗组胺药	(kàng zǔ àn yào)
抗组织胺	(kàng zǔ zhī àn)
囥	(kàng)
炕	(kàng)
尻	(kāo)
尻骨	(kāo gǔ)
尻门子	(kāo mén zi)
丂	(kǎo)
考	(kǎo)
拷	(kǎo)
拷贝	(kǎo bèi)
拷打	(kǎo dǎ)
拷花	(kǎo huā)
拷掠	(kǎo lüè)
拷问	(kǎo wèn)
栲	(kǎo)
栲胶	(kǎo jiāo)
栲栳	(kǎo lǎo)
栲属	(kǎo shǔ)
柯	(kē)
柯P	(kē p)
柯城区	(kē chéng qū)
柯达	(kē dá)
柯棣华	(kē dì huá)
柯尔克孜	(kē ěr kè zī)
柯尔克孜语	(kē ěr kè zī yǔ)
柯尔克孜族	(kē ěr kè zī zú)
柯夫塔	(kē fū tǎ)
柯基	(kē jī)
柯里化	(kē lǐ huà)
柯林	(kē lín)
柯林顿	(kē lín dùn)
柯林斯	(kē lín sī)
柯密	(kē mì)
柯那克里	(kē nà kè lǐ)
柯南·道尔	(kē nán · dào ěr)
柯尼斯堡	(kē ní sī bǎo)
柯坪县	(kē píng xiàn)
柯桥区	(kē qiáo qū)
柯萨奇病毒	(kē sà qí bìng dú)
柯沙奇病毒	(kē shā qí bìng dú)
柯劭忞	(kē shào mín)
柯式印刷	(kē shì yìn shuā)
柯西	(kē xī)
棵	(kē)
嵙	(kē)
搕	(kè)
嗑	(kè)
嗑CP	(kē cp)
嗑药	(kè yào)
榼	(kè)
壳	(ké)
壳菜	(qiào cài)
壳儿	(ké r)
壳郎猪	(ké lang zhū)
壳幔	(ké màn)
壳牌公司	(qiào pái gōng sī)
壳质	(qiào zhì)
可	(kě)
可哀	(kě āi)
可爱	(kě ài)
可爱岛	(kě ài dǎo)
可悲	(kě bēi)
可比	(kě bǐ)
可鄙	(kě bǐ)
可编程	(kě biān chéng)
可变	(kě biàn)
可不是	(kě bu shì)
可擦除可编程只读存储器	(kě cā chú kě biān chéng zhǐ dú cún chǔ qì)
可擦写	(kě cā xiě)
可采	(kě cǎi)
可采性	(kě cǎi xìng)
可乘之机	(kě chéng zhī jī)
可吃	(kě chī)
可持续	(kě chí xù)
可持续发展	(kě chí xù fā zhǎn)
可耻	(kě chǐ)
可蠢	(kě chǔn)
可磁化体	(kě cí huà tǐ)
可待因	(kě dài yīn)
可导	(kě dǎo)
可调	(kě tiáo)
可懂度	(kě dǒng dù)
可动	(kě dòng)
可读	(kě dú)
可读性	(kě dú xìng)
可恶	(kě wù)
可儿	(kě ér)
可分	(kě fēn)
可否	(kě fǒu)
可歌可泣	(kě gē kě qì)
可耕地	(kě gēng dì)
可怪	(kě guài)
可观	(kě guān)
可贵	(kě guì)
可汗	(kè hán)
可好	(kě hǎo)
可恨	(kě hèn)
可回收	(kě huí shōu)
可加	(kě jiā)
可嘉	(kě jiā)
可见	(kě jiàn)
可见光	(kě jiàn guāng)
可接受性	(kě jiē shòu xìng)
可结合性	(kě jié hé xìng)
可解	(kě jiě)
可劲	(kě jìn)
可劲儿	(kě jìn r)
可惊	(kě jīng)
可敬	(kě jìng)
可就	(kě jiù)
可掬	(kě jū)
可决	(kě jué)
可决率	(kě jué lǜ)
可决票	(kě jué piào)
可卡因	(kě kǎ yīn)
可堪	(kě kān)
可看	(kě kàn)
可靠	(kě kào)
可靠性	(kě kào xìng)
可可	(kě kě)
可可波罗	(kě kě bō luó)
可可粉	(kě kě fěn)
可可米	(kě kě mǐ)
可可西里	(kě kě xī lǐ)
可可脂	(kě kě zhī)
可控硅	(kě kòng guī)
可口	(kě kǒu)
可口可乐	(kě kǒu kě lè)
可扩展标记语言	(kě kuò zhǎn biāo jì yǔ yán)
可兰经	(kě lán jīng)
可乐	(kě lè)
可乐饼	(kě lè bǐng)
可乐定	(kě lè dìng)
可丽饼	(kě lì bǐng)
可丽露	(kě lì lù)
可怜	(kě lián)
可怜巴巴	(kě lián bā bā)
可怜虫	(kě lián chóng)
可怜见	(kě lián jiàn)
可怜兮兮	(kě lián xī xī)
可裂变	(kě liè biàn)
可裂变材料	(kě liè biàn cái liào)
可裂变同位素	(kě liè biàn tóng wèi sù)
可伦坡	(kě lún pō)
可虑	(kě lǜ)
可恼	(kě nǎo)
可能	(kě néng)
可能性	(kě néng xìng)
可逆	(kě nì)
可逆性	(kě nì xìng)
可念	(kě niàn)
可怕	(kě pà)
可欺	(kě qī)
可气	(kě qì)
可巧	(kě qiǎo)
可亲	(kě qīn)
可取	(kě qǔ)
可取之处	(kě qǔ zhī chù)
可圈可点	(kě quān kě diǎn)
可燃	(kě rán)
可燃冰	(kě rán bīng)
可燃性	(kě rán xìng)
可人	(kě rén)
可溶	(kě róng)
可溶性	(kě róng xìng)
可身	(kě shēn)
可食	(kě shí)
可视电话	(kě shì diàn huà)
可视化	(kě shì huà)
可是	(kě shì)
可恃	(kě shì)
可数	(kě shǔ)
可数集	(kě shǔ jí)
可数名词	(kě shǔ míng cí)
可颂	(kě sòng)
可塑性	(kě sù xìng)
可叹	(kě tàn)
可体	(kě tǐ)
可通	(kě tōng)
可望	(kě wàng)
可望而不可及	(kě wàng ér bù kě jí)
可望而不可即	(kě wàng ér bù kě jí)
可望有成	(kě wàng yǒu chéng)
可微	(kě wēi)
可畏	(kě wèi)
可谓	(kě wèi)
可惜	(kě xī)
可喜	(kě xǐ)
可喜可贺	(kě xǐ kě hè)
可想而知	(kě xiǎng ér zhī)
可笑	(kě xiào)
可心	(kě xīn)
可信	(kě xìn)
可信度	(kě xìn dù)
可信任	(kě xìn rèn)
可行	(kě xíng)
可行性	(kě xíng xìng)
可选	(kě xuǎn)
可寻址	(kě xún zhǐ)
可压缩	(kě yā suō)
可言	(kě yán)
可一而不可再	(kě yī ér bù kě zài)
可移植	(kě yí zhí)
可移植性	(kě yí zhí xìng)
可疑	(kě yí)
可疑分子	(kě yí fèn zǐ)
可以	(kě yǐ)
可以意会，不可言传	(kě yǐ yì huì , bù kě yán chuán)
可有可无	(kě yǒu kě wú)
可遇不可求	(kě yù bù kě qiú)
可再生	(kě zài shēng)
可憎	(kě zēng)
可展曲面	(kě zhǎn qū miàn)
可支付性	(kě zhī fù xìng)
可支配收入	(kě zhī pèi shōu rù)
可知	(kě zhī)
可知论	(kě zhī lùn)
可执行	(kě zhí xíng)
可转让	(kě zhuǎn ràng)
可转让证券	(kě zhuǎn ràng zhèng quàn)
可转债	(kě zhuǎn zhài)
可作	(kě zuò)
坷	(kē)
坷垃	(kē lā)
岢	(kě)
岢岚县	(kě lán xiàn)
克	(kè)
克东县	(kè dōng xiàn)
克尔白	(kè ěr bái)
克服	(kè fú)
克格勃	(kè gé bó)
克国	(kè guó)
克基拉岛	(kè jī lā dǎo)
克己	(kè jǐ)
克己奉公	(kè jǐ fèng gōng)
克己复礼	(kè jǐ fù lǐ)
克俭	(kè jiǎn)
克扣	(kè kòu)
克拉	(kè lā)
克拉科夫	(kè lā kē fū)
克拉克	(kè lā kè)
克拉玛依区	(kè lā mǎ yī qū)
克拉玛依市	(kè lā mǎ yī shì)
克拉斯金诺	(kè lā sī jīn nuò)
克拉斯诺达尔	(kè lā sī nuò dá ěr)
克拉斯诺亚尔斯克	(kè lā sī nuò yà ěr sī kè)
克拉通	(kè lā tōng)
克莱	(kè lái)
克莱顿	(kè lái dùn)
克莱尔	(kè lái ěr)
克莱尔蒙特	(kè lái ěr méng tè)
克莱蒙	(kè lái méng)
克莱蒙特	(kè lái méng tè)
克莱斯勒	(kè lái sī lè)
克莱因	(kè lái yīn)
克赖斯特彻奇	(kè lài sī tè chè qí)
克朗	(kè lǎng)
克朗代克	(kè lǎng dài kè)
克劳德	(kè láo dé)
克劳斯	(kè láo sī)
克劳修斯	(kè láo xiū sī)
克勒	(kè lè)
克雷伯氏菌属	(kè léi bó shì jūn shǔ)
克蕾儿	(kè lěi r)
克里奥尔语	(kè lǐ ào ěr yǔ)
克里米亚	(kè lǐ mǐ yà)
克里姆林宫	(kè lǐ mǔ lín gōng)
克里木	(kè lǐ mù)
克里木半岛	(kè lǐ mù bàn dǎo)
克里木战争	(kè lǐ mù zhàn zhēng)
克里普斯	(kè lǐ pǔ sī)
克里斯蒂安	(kè lǐ sī dì ān)
克里斯蒂安松	(kè lǐ sī dì ān sōng)
克里斯蒂娃	(kè lǐ sī dì wá)
克里斯汀	(kè lǐ sī tīng)
克里斯汀·贝尔	(kè lǐ sī tīng · bèi ěr)
克里斯托弗	(kè lǐ sī tuō fú)
克里特	(kè lǐ tè)
克里特岛	(kè lǐ tè dǎo)
克利夫兰	(kè lì fū lán)
克利斯朵夫	(kè lì sī duǒ fū)
克莉奥佩特拉	(kè lì ào pèi tè lā)
克林德	(kè lín dé)
克林顿	(kè lín dùn)
克林霉素	(kè lín méi sù)
克林姆	(kè lín mǔ)
克林姆酱	(kè lín mǔ jiàng)
克流感	(kè liú gǎn)
克隆	(kè lóng)
克隆技术	(kè lóng jì shù)
克隆人	(kè lóng rén)
克隆氏病	(kè lóng shì bìng)
克娄巴特拉	(kè lóu bā tè lā)
克漏字	(kè lòu zì)
克虏伯	(kè lǔ bó)
克仑特罗	(kè lún tè luō)
克罗埃西亚	(kè luó āi xī yà)
克罗地亚	(kè luó dì yà)
克罗地亚共和国	(kè luó dì yà gòng hé guó)
克罗地亚语	(kè luó dì yà yǔ)
克罗诺斯	(kè luó nuò sī)
克霉唑	(kè méi zuò)
克难	(kè nán)
克期	(kè qī)
克勤克俭	(kè qín kè jiǎn)
克日	(kè rì)
克沙奇病毒	(kè shā qí bìng dú)
克山县	(kè shān xiàn)
克绍箕裘	(kè shào jī qiú)
克什克腾	(kè shí kè téng)
克什克腾旗	(kè shí kè téng qí)
克什米尔	(kè shí mǐ ěr)
克氏黑鳍鳈	(kè shì hēi qí quán)
克氏原螯虾	(kè shì yuán áo xiā)
克丝钳子	(kè sī qián zi)
克苏鲁	(kè sū lǔ)
克他命	(kè tā mìng)
克汀病	(kè tīng bìng)
克维拉	(kè wéi lā)
克文	(kè wén)
克星	(kè xīng)
克雅氏病	(kè yǎ shì bìng)
克耶邦	(kè yē bāng)
克耶族	(kè yē zú)
克制	(kè zhì)
克孜尔尕哈	(kè zī ěr gǎ hā)
克孜尔千佛洞	(kè zī ěr qiān fó dòng)
克孜勒	(kè zī lè)
克孜勒苏河	(kè zī lè sū hé)
克孜勒苏柯尔克孜自治州	(kè zī lè sū kē ěr kè zī zì zhì zhōu)
刻	(kè)
刻板	(kè bǎn)
刻板印象	(kè bǎn yìn xiàng)
刻版	(kè bǎn)
刻薄	(kè bó)
刻薄寡恩	(kè bó guǎ ēn)
刻本	(kè běn)
刻剥	(kè bō)
刻不容缓	(kè bù róng huǎn)
刻刀	(kè dāo)
刻毒	(kè dú)
刻度	(kè dù)
刻度盘	(kè dù pán)
刻骨	(kè gǔ)
刻骨铭心	(kè gǔ míng xīn)
刻骨相思	(kè gǔ xiāng sī)
刻鹄类鹜	(kè hú lèi wù)
刻痕	(kè hén)
刻画	(kè huà)
刻苦	(kè kǔ)
刻苦耐劳	(kè kǔ nài láo)
刻苦钻研	(kè kǔ zuān yán)
刻录	(kè lù)
刻录机	(kè lù jī)
刻期	(kè qī)
刻奇	(kè qí)
刻日	(kè rì)
刻丝	(kè sī)
刻写	(kè xiě)
刻意	(kè yì)
刻意求工	(kè yì qiú gōng)
刻意为之	(kè yì wéi zhī)
刻印	(kè yìn)
刻舟求剑	(kè zhōu qiú jiàn)
兙	(shi2ke4)
剋	(kēi)
剋架	(kēi jià)
峇	(kē)
峇峇娘惹	(bā bā niáng rě)
峇拉煎	(bā lā jiān)
峇厘	(bā lí)
峇里	(bā lǐ)
恪	(kè)
恪慎	(kè shèn)
恪守	(kè shǒu)
恪遵	(kè zūn)
客	(kè)
客舱	(kè cāng)
客场	(kè chǎng)
客车	(kè chē)
客船	(kè chuán)
客串	(kè chuàn)
客单价	(kè dān jià)
客店	(kè diàn)
客队	(kè duì)
客饭	(kè fàn)
客房	(kè fáng)
客房服务	(kè fáng fú wù)
客服	(kè fú)
客观	(kè guān)
客观世界	(kè guān shì jiè)
客观唯心主义	(kè guān wéi xīn zhǔ yì)
客观性	(kè guān xìng)
客观主义	(kè guān zhǔ yì)
客官	(kè guān)
客户	(kè hù)
客户端	(kè hù duān)
客户服务	(kè hù fú wù)
客户服务部	(kè hù fú wù bù)
客户机	(kè hù jī)
客户机软件	(kè hù jī ruǎn jiàn)
客户应用	(kè hù yìng yòng)
客机	(kè jī)
客家话	(kè jiā huà)
客家人	(kè jiā rén)
客家语	(kè jiā yǔ)
客居	(kè jū)
客流	(kè liú)
客轮	(kè lún)
客满	(kè mǎn)
客气	(kè qi)
客气话	(kè qi huà)
客群	(kè qún)
客人	(kè rén)
客似云来	(kè sì yún lái)
客室	(kè shì)
客死	(kè sǐ)
客死异乡	(kè sǐ yì xiāng)
客诉	(kè sù)
客堂	(kè táng)
客套	(kè tào)
客套话	(kè tào huà)
客梯	(kè tī)
客体	(kè tǐ)
客厅	(kè tīng)
客西马尼园	(kè xī mǎ ní yuán)
客语	(kè yǔ)
客源	(kè yuán)
客运	(kè yùn)
客运量	(kè yùn liàng)
客蚤	(kè zǎo)
客蚤属	(kè zǎo shǔ)
客栈	(kè zhàn)
客制化	(kè zhì huà)
客座教授	(kè zuò jiào shòu)
兛	(qian1ke4)
兞	(hao2ke4)
兡	(bai3ke4)
垦	(kěn)
垦丁	(kěn dīng)
垦丁国家公园	(kěn dīng guó jiā gōng yuán)
垦耕	(kěn gēng)
垦荒	(kěn huāng)
垦利区	(kěn lì qū)
垦殖	(kěn zhí)
恳	(kěn)
恳辞	(kěn cí)
恳切	(kěn qiè)
恳请	(kěn qǐng)
恳求	(kěn qiú)
啃	(kěn)
啃老	(kěn lǎo)
啃老族	(kěn lǎo zú)
啃书	(kěn shū)
掯	(kèn)
坑	(kēng)
坑道	(kēng dào)
坑爹	(kēng diē)
坑洞	(kēng dòng)
坑害	(kēng hài)
坑井	(kēng jǐng)
坑坎	(kēng kǎn)
坑坑洼洼	(kēng keng wā wā)
坑口	(kēng kǒu)
坑蒙	(kēng mēng)
坑蒙拐骗	(kēng mēng guǎi piàn)
坑木	(kēng mù)
坑骗	(kēng piàn)
坑人	(kēng rén)
坑杀	(kēng shā)
坑洼	(kēng wā)
吭	(háng)
吭哧	(kēng chi)
吭吭	(kēng kēng)
吭气	(kēng qì)
吭声	(kēng shēng)
倥	(kōng)
倥侗	(kōng tóng)
倥偬	(kǒng zǒng)
崆	(kōng)
崆峒区	(kōng tóng qū)
悾	(kōng)
孔	(kǒng)
孔版印刷	(kǒng bǎn yìn shuā)
孔丛子	(kǒng cóng zǐ)
孔道	(kǒng dào)
孔德	(kǒng dé)
孔洞	(kǒng dòng)
孔方兄	(kǒng fāng xiōng)
孔夫子	(kǒng fū zǐ)
孔教	(kǒng jiào)
孔径	(kǒng jìng)
孔林	(kǒng lín)
孔门	(kǒng mén)
孔孟	(kǒng mèng)
孔孟之道	(kǒng mèng zhī dào)
孔庙	(kǒng miào)
孔明	(kǒng míng)
孔明灯	(kǒng míng dēng)
孔丘	(kǒng qiū)
孔雀	(kǒng què)
孔雀河	(kǒng què hé)
孔雀女	(kǒng què nǚ)
孔雀王朝	(kǒng què wáng cháo)
孔雀座	(kǒng què zuò)
孔融	(kǒng róng)
孔融让梨	(kǒng róng ràng lí)
孔尚任	(kǒng shàng rèn)
孔圣人	(kǒng shèng rén)
孔斯贝格	(kǒng sī bèi gé)
孔武	(kǒng wǔ)
孔武有力	(kǒng wǔ yǒu lì)
孔隙	(kǒng xì)
孔穴	(kǒng xué)
孔眼	(kǒng yǎn)
孔乙己	(kǒng yǐ jǐ)
孔殷	(kǒng yīn)
孔颖达	(kǒng yǐng dá)
孔院	(kǒng yuàn)
孔子	(kǒng zǐ)
孔子家语	(kǒng zǐ jiā yǔ)
孔子学院	(kǒng zǐ xué yuàn)
恐	(kǒng)
恐艾	(kǒng ài)
恐怖	(kǒng bù)
恐怖电影	(kǒng bù diàn yǐng)
