11區	(11 qū)
技術指導	(jì shù zhǐ dǎo)
技校	(jì xiào)
技癢	(jì yǎng)
技藝	(jì yì)
技戰術	(jì zhàn shù)
技正	(jì zhèng)
技職	(jì zhí)
技佐	(jì zuǒ)
忌	(jì)
忌辰	(jì chén)
忌憚	(jì dàn)
忌妒	(jì du)
忌恨	(jì hèn)
忌諱	(jì huì)
忌口	(jì kǒu)
忌日	(jì rì)
忌食	(jì shí)
忌羨	(jì xiàn)
忌煙	(jì yān)
妓	(jì)
妓館	(jì guǎn)
妓女	(jì nǚ)
妓院	(jì yuàn)
妓寨	(jì zhài)
季	(jì)
季報	(jì bào)
季春	(jì chūn)
季冬	(jì dōng)
季度	(jì dù)
季風	(jì fēng)
季父	(jì fù)
季後賽	(jì hòu sài)
季候	(jì hòu)
季會	(jì huì)
季節	(jì jié)
季節性	(jì jié xìng)
季經	(jì jīng)
季軍	(jì jūn)
季刊	(jì kān)
季肋	(jì lèi)
季肋區	(jì lèi qū)
季黎諾	(jì lí nuò)
季路	(jì lù)
季莫申科	(jì mò shēn kē)
季諾	(jì nuò)
季世	(jì shì)
季夏	(jì xià)
季羨林	(jì xiàn lín)
季相	(jì xiàng)
季雨林	(jì yǔ lín)
季子	(jì zǐ)
垍	(jì)
既	(jì)
既成事實	(jì chéng shì shí)
既得	(jì dé)
既得利益	(jì dé lì yì)
既得期間	(jì dé qī jiān)
既定	(jì dìng)
既而	(jì ér)
既來之，則安之	(jì lái zhī , zé ān zhī)
既然	(jì rán)
既是	(jì shì)
既視感	(jì shì gǎn)
既往	(jì wǎng)
既往不咎	(jì wǎng bù jiù)
既已	(jì yǐ)
既有	(jì yǒu)
偈	(jì)
旣	(jì)
悸	(jì)
悸動	(jì dòng)
悸慄	(jì lì)
寄	(jì)
寄出	(jì chū)
寄辭	(jì cí)
寄存	(jì cún)
寄存處	(jì cún chù)
寄存器	(jì cún qì)
寄達	(jì dá)
寄遞	(jì dì)
寄頓	(jì dùn)
寄發	(jì fā)
寄放	(jì fàng)
寄父	(jì fù)
寄懷	(jì huái)
寄籍	(jì jí)
寄跡	(jì jì)
寄件人	(jì jiàn rén)
寄居	(jì jū)
寄居蟹	(jì jū xiè)
寄賣	(jì mài)
寄名	(jì míng)
寄母	(jì mǔ)
寄女	(jì nǚ)
寄人籬下	(jì rén lí xià)
寄生	(jì shēng)
寄生蟲	(jì shēng chóng)
寄生生活	(jì shēng shēng huó)
寄生物	(jì shēng wù)
寄生者	(jì shēng zhě)
寄售	(jì shòu)
寄送	(jì sòng)
寄宿	(jì sù)
寄宿生	(jì sù shēng)
寄宿學校	(jì sù xué xiào)
寄託	(jì tuō)
寄望	(jì wàng)
寄物	(jì wù)
寄物處	(jì wù chù)
寄物櫃	(jì wù guì)
寄銷	(jì xiāo)
寄養	(jì yǎng)
寄予	(jì yǔ)
寄予厚望	(jì yǔ hòu wàng)
寄語	(jì yǔ)
寄主	(jì zhǔ)
寄子	(jì zǐ)
寂	(jì)
寂寂	(jì jì)
寂寂無名	(jì jì wú míng)
寂靜	(jì jìng)
寂寥	(jì liáo)
寂滅	(jì miè)
寂寞	(jì mò)
寂然	(jì rán)
惎	(jì)
塈	(jì)
勣	(jì)
暨	(jì)
暨大	(jì dà)
暨今	(jì jīn)
冀	(jì)
冀朝鑄	(jì cháo zhù)
冀縣	(jì xiàn)
冀州區	(jì zhōu qū)
劑	(jì)
劑次	(jì cì)
劑量	(jì liàng)
劑量當量	(jì liàng dāng liàng)
劑型	(jì xíng)
劑子	(jì zi)
檵	(jì)
檵花	(jì huā)
檵木	(jì mù)
加	(jiā)
加百列	(jiā bǎi liè)
加班	(jiā bān)
加班費	(jiā bān fèi)
加倍	(jiā bèi)
加俾額爾	(jiā bǐ é ěr)
加冰	(jiā bīng)
加冰塊	(jiā bīng kuài)
加餐	(jiā cān)
加倉	(jiā cāng)
加查縣	(jiā chá xiàn)
加長	(jiā cháng)
加車	(jiā chē)
加持	(jiā chí)
加粗	(jiā cū)
加達里	(jiā dá lǐ)
加大	(jiā dà)
加大力度	(jiā dà lì dù)
加大努力	(jiā dà nǔ lì)
加大油門	(jiā dà yóu mén)
加德滿都	(jiā dé mǎn dū)
加德納	(jiā dé nà)
加德士	(jiā dé shì)
加德西	(jiā dé xī)
加的夫	(jiā de fū)
加的斯	(jiā dì sī)
加點	(jiā diǎn)
加多寶	(jiā duō bǎo)
加爾各答	(jiā ěr gè dá)
加爾文	(jiā ěr wén)
加法	(jiā fǎ)
加菲貓	(jiā fēi māo)
加分	(jiā fēn)
加封	(jiā fēng)
加封官階	(jiā fēng guān jiē)
加俸	(jiā fèng)
加氟	(jiā fú)
加蓋	(jiā gài)
加格達奇區	(jiā gé dá qí qū)
加工	(jiā gōng)
加工廠	(jiā gōng chǎng)
加工成本	(jiā gōng chéng běn)
加工貿易	(jiā gōng mào yì)
加購	(jiā gòu)
加固	(jiā gù)
加官	(jiā guān)
加官晉級	(jiā guān jìn jí)
加官晉爵	(jiā guān jìn jué)
加官進爵	(jiā guān jìn jué)
加官進祿	(jiā guān jìn lù)
加官進位	(jiā guān jìn wèi)
加國	(jiā guó)
加害	(jiā hài)
加航	(jiā háng)
加號	(jiā hào)
加和	(jiā hé)
加護	(jiā hù)
加護病房	(jiā hù bìng fáng)
加吉魚	(jiā jí yú)
加急	(jiā jí)
加加林	(jiā jiā lín)
加價	(jiā jià)
加減乘除	(jiā jiǎn chéng chú)
加減號	(jiā jiǎn hào)
加緊	(jiā jǐn)
加勁	(jiā jìn)
加勁兒	(jiā jìn r)
加進	(jiā jìn)
加劇	(jiā jù)
加快	(jiā kuài)
加寬	(jiā kuān)
加拉巴哥斯	(jiā lā bā gē sī)
加拉巴哥斯群島	(jiā lā bā gē sī qún dǎo)
加拉加斯	(jiā lā jiā sī)
加拉帕戈斯群島	(jiā lā pà gē sī qún dǎo)
加拉太書	(jiā lā tài shū)
加辣	(jiā là)
加來海峽	(jiā lái hǎi xiá)
加勒比	(jiā lè bǐ)
加勒比國家聯盟	(jiā lè bǐ guó jiā lián méng)
加勒比海	(jiā lè bǐ hǎi)
加哩	(jiā lǐ)
加里	(jiā lǐ)
加里波第	(jiā lǐ bō dì)
加里肋亞	(jiā lǐ lèi yà)
加里肋亞海	(jiā lǐ lèi yà hǎi)
加里曼丹	(jiā lǐ màn dān)
加里曼丹島	(jiā lǐ màn dān dǎo)
加里寧格勒	(jiā lǐ níng gé lè)
加里寧格勒州	(jiā lǐ níng gé lè zhōu)
加利福尼亞	(jiā lì fú ní yà)
加利福尼亞大學	(jiā lì fú ní yà dà xué)
加利福尼亞大學洛杉磯分校	(jiā lì fú ní yà dà xué luò shān jī fēn xiào)
加利福尼亞理工學院	(jiā lì fú ní yà lǐ gōng xué yuàn)
加利福尼亞州	(jiā lì fú ní yà zhōu)
加利肋亞	(jiā lì lèi yà)
加利利	(jiā lì lì)
加利西亞	(jiā lì xī yà)
加料	(jiā liào)
加料鋼琴	(jiā liào gāng qín)
加侖	(jiā lún)
加羅林群島	(jiā luó lín qún dǎo)
加麻大	(jiā má dà)
加碼	(jiā mǎ)
加滿	(jiā mǎn)
加盟	(jiā méng)
加盟店	(jiā méng diàn)
加密	(jiā mì)
加密貨幣	(jiā mì huò bì)
加密套接字協議層	(jiā mì tào jiē zì xié yì céng)
加冕	(jiā miǎn)
加繆	(jiā miù)
加拿大	(jiā ná dà)
加拿大皇家	(jiā ná dà huáng jiā)
加拿大皇家海軍	(jiā ná dà huáng jiā hǎi jūn)
加拿大太平洋鐵路	(jiā ná dà tài píng yáng tiě lù)
加拿大雁	(jiā ná dà yàn)
加那利群島	(jiā nà lì qún dǎo)
加納	(jiā nà)
加農	(jiā nóng)
加農炮	(jiā nóng pào)
加派	(jiā pài)
加彭	(jiā péng)
加蓬	(jiā péng)
加氣	(jiā qì)
加錢	(jiā qián)
加強	(jiā qiáng)
加強針	(jiā qiáng zhēn)
加氫油	(jiā qīng yóu)
加權	(jiā quán)
加權平均	(jiā quán píng jūn)
加熱	(jiā rè)
加人一等	(jiā rén yī děng)
加入	(jiā rù)
加塞兒	(jiā sāi r)
加賽	(jiā sài)
加沙	(jiā shā)
加沙地帶	(jiā shā dì dài)
加上	(jiā shàng)
加深	(jiā shēn)
加濕器	(jiā shī qì)
加時	(jiā shí)
加時賽	(jiā shí sài)
加試	(jiā shì)
加數	(jiā shù)
加速	(jiā sù)
加速度	(jiā sù dù)
加速器	(jiā sù qì)
加速踏板	(jiā sù tà bǎn)
加索爾	(jiā suǒ ěr)
加泰羅尼亞	(jiā tài luó ní yà)
加特林	(jiā tè lín)
加特林機槍	(jiā tè lín jī qiāng)
加藤	(jiā téng)
加添	(jiā tiān)
加甜	(jiā tián)
加委	(jiā wěi)
加溫	(jiā wēn)
加西亞	(jiā xī yà)
加息	(jiā xī)
加薪	(jiā xīn)
加壓	(jiā yā)
加壓釜	(jiā yā fǔ)
加演	(jiā yǎn)
加央	(jiā yāng)
加以	(jiā yǐ)
加意	(jiā yì)
加油	(jiā yóu)
加油工	(jiā yóu gōng)
加油槍	(jiā yóu qiāng)
加油添醋	(jiā yóu tiān cù)
加油站	(jiā yóu zhàn)
加載	(jiā zài)
加之	(jiā zhī)
加值	(jiā zhí)
加值型網路	(jiā zhí xíng wǎng lù)
加徵	(jiā zhēng)
加重	(jiā zhòng)
加重語氣	(jiā zhòng yǔ qì)
加州	(jiā zhōu)
加州大學	(jiā zhōu dà xué)
加州理工學院	(jiā zhōu lǐ gōng xué yuàn)
加注	(jiā zhù)
加註	(jiā zhù)
加茲尼	(jiā zī ní)
加茲尼省	(jiā zī ní shěng)
加總	(jiā zǒng)
加足馬力	(jiā zú mǎ lì)
宊	(jiā)
佳	(jiā)
佳賓	(jiā bīn)
佳得樂	(jiā dé lè)
佳冬	(jiā dōng)
佳冬鄉	(jiā dōng xiāng)
佳話	(jiā huà)
佳績	(jiā jì)
佳節	(jiā jié)
佳潔士	(jiā jié shì)
佳境	(jiā jìng)
佳里	(jiā lǐ)
佳利釀	(jiā lì niàng)
佳麗	(jiā lì)
佳麗釀	(jiā lì niàng)
佳美	(jiā měi)
佳妙	(jiā miào)
佳木斯大學	(jiā mù sī dà xué)
佳木斯市	(jiā mù sī shì)
佳能	(jiā néng)
佳釀	(jiā niàng)
佳偶	(jiā ǒu)
佳評如潮	(jiā píng rú cháo)
佳期	(jiā qī)
佳人	(jiā rén)
佳人才子	(jiā rén cái zǐ)
佳世客	(jiā shì kè)
佳縣	(jiā xiàn)
佳餚	(jiā yáo)
佳音	(jiā yīn)
佳作	(jiā zuò)
㹢	(jiā)
枷	(jiā)
枷板	(jiā bǎn)
枷鎖	(jiā suǒ)
枷銷	(jiā xiāo)
家	(jiā)
家八哥	(jiā bā ge)
家暴	(jiā bào)
家蠶	(jiā cán)
家產	(jiā chǎn)
家長	(jiā zhǎng)
家長會	(jiā zhǎng huì)
家長家短	(jiā cháng jiā duǎn)
家長制	(jiā zhǎng zhì)
家常	(jiā cháng)
家常便飯	(jiā cháng biàn fàn)
家常菜	(jiā cháng cài)
家常豆腐	(jiā cháng dòu fu)
家臣	(jiā chén)
家醜	(jiā chǒu)
家醜不可外傳	(jiā chǒu bù kě wài chuán)
家醜不可外揚	(jiā chǒu bù kě wài yáng)
家畜	(jiā chù)
家傳	(jiā chuán)
家慈	(jiā cí)
家大業大	(jiā dà yè dà)
家當	(jiā dàng)
家道	(jiā dào)
家道中落	(jiā dào zhōng luò)
家的	(jiā de)
家底	(jiā dǐ)
家弟	(jiā dì)
家電	(jiā diàn)
家丁	(jiā dīng)
家兒	(jiā ér)
家法	(jiā fǎ)
家父	(jiā fù)
家婦	(jiā fù)
家給人足	(jiā jǐ rén zú)
家公	(jiā gōng)
家姑	(jiā gū)
家規	(jiā guī)
家和萬事興	(jiā hé wàn shì xīng)
家花沒有野花香	(jiā huā méi yǒu yě huā xiāng)
家伙	(jiā huo)
家姬	(jiā jī)
家計	(jiā jì)
家家戶戶	(jiā jiā hù hù)
家家酒	(jiā jiā jiǔ)
家家有本難念的經	(jiā jiā yǒu běn nán niàn de jīng)
家教	(jiā jiào)
家轎	(jiā jiào)
家姐	(jiā jiě)
家景	(jiā jǐng)
家境	(jiā jìng)
家舅	(jiā jiù)
家居	(jiā jū)
家居賣場	(jiā jū mài chǎng)
家具	(jiā jù)
家俱	(jiā jù)
家眷	(jiā juàn)
家老	(jiā lǎo)
家累千金，坐不垂堂	(jiā lěi qiān jīn , zuò bù chuí táng)
家裡	(jiā lǐ)
家裡蹲	(jiā lǐ dūn)
家麻雀	(jiā má què)
家馬	(jiā mǎ)
家貓	(jiā māo)
家門	(jiā mén)
家母	(jiā mǔ)
家娘	(jiā niáng)
家奴	(jiā nú)
家貧如洗	(jiā pín rú xǐ)
家婆	(jiā pó)
家破人亡	(jiā pò rén wáng)
家譜	(jiā pǔ)
家禽	(jiā qín)
家親	(jiā qīn)
家去	(jiā qù)
家雀兒	(jiā qiǎo r)
家人	(jiā rén)
家嫂	(jiā sǎo)
家什	(jiā shi)
家世	(jiā shì)
家事	(jiā shì)
家室	(jiā shì)
家叔	(jiā shū)
家屬	(jiā shǔ)
家數	(jiā shù)
家私	(jiā sī)
家庭	(jiā tíng)
家庭暴力	(jiā tíng bào lì)
家庭成員	(jiā tíng chéng yuán)
家庭地址	(jiā tíng dì zhǐ)
家庭教師	(jiā tíng jiào shī)
家庭影院	(jiā tíng yǐng yuàn)
家庭主夫	(jiā tíng zhǔ fū)
家庭主婦	(jiā tíng zhǔ fù)
家庭煮夫	(jiā tíng zhǔ fū)
家庭作業	(jiā tíng zuò yè)
家童	(jiā tóng)
家僮	(jiā tóng)
家徒四壁	(jiā tú sì bì)
家務	(jiā wù)
家務活	(jiā wù huó)
家鄉	(jiā xiāng)
家鄉菜	(jiā xiāng cài)
家鄉話	(jiā xiāng huà)
家小	(jiā xiǎo)
家信	(jiā xìn)
家兄	(jiā xiōng)
家訓	(jiā xùn)
家鴉	(jiā yā)
家鴨	(jiā yā)
家鴨綠頭鴨	(jiā yā lǜ tóu yā)
家嚴	(jiā yán)
家宴	(jiā yàn)
家燕	(jiā yàn)
家養	(jiā yǎng)
家爺	(jiā yé)
家業	(jiā yè)
家蠅	(jiā yíng)
家傭	(jiā yōng)
家用	(jiā yòng)
家用電腦	(jiā yòng diàn nǎo)
家用電器	(jiā yòng diàn qì)
家語	(jiā yǔ)
家喻戶曉	(jiā yù hù xiǎo)
家園	(jiā yuán)
家樂福	(jiā lè fú)
家樂氏	(jiā lè shì)
家灶	(jiā zào)
家宅	(jiā zhái)
家政	(jiā zhèng)
家政學	(jiā zhèng xué)
家政員	(jiā zhèng yuán)
家主	(jiā zhǔ)
家貲萬貫	(jiā zī wàn guàn)
家子	(jiā zi)
家姊	(jiā zǐ)
家族	(jiā zú)
家族樹	(jiā zú shù)
家祖	(jiā zǔ)
梜	(jiā)
梜提	(jiā tí)
傢	(jiā)
傢伙	(jiā huo)
傢具	(jiā jù)
傢俱	(jiā jù)
嘉	(jiā)
嘉柏隆里	(jiā bó lóng lǐ)
嘉寶果	(jiā bǎo guǒ)
嘉賓	(jiā bīn)
嘉定	(jiā dìng)
嘉定區	(jiā dìng qū)
嘉爾曼	(jiā ěr màn)
嘉豪	(jiā háo)
嘉禾縣	(jiā hé xiàn)
嘉許	(jiā xǔ)
嘉會	(jiā huì)
嘉獎	(jiā jiǎng)
嘉黎縣	(jiā lí xiàn)
嘉陵江	(jiā líng jiāng)
嘉陵區	(jiā líng qū)
嘉年華	(jiā nián huá)
嘉善縣	(jiā shàn xiàn)
嘉士伯	(jiā shì bó)
嘉祥縣	(jiā xiáng xiàn)
嘉興市	(jiā xīng shì)
嘉義	(jiā yì)
嘉義市	(jiā yì shì)
嘉義縣	(jiā yì xiàn)
嘉蔭縣	(jiā yīn xiàn)
嘉魚縣	(jiā yú xiàn)
嘉峪關	(jiā yù guān)
嘉峪關城	(jiā yù guān chéng)
嘉峪關市	(jiā yù guān shì)
夾	(jiā)
夾襖	(jiá ǎo)
夾板	(jiā bǎn)
夾層	(jiā céng)
夾持	(jiā chí)
夾帶	(jiā dài)
夾當	(jiā dāng)
夾當兒	(jiā dāng r)
夾道	(jiā dào)
夾道歡迎	(jiā dào huān yíng)
夾斷	(jiā duàn)
夾縫	(jiā fèng)
夾攻	(jiā gōng)
夾棍	(jiā gùn)
夾擊	(jiā jī)
夾江縣	(jiā jiāng xiàn)
夾角	(jiā jiǎo)
夾腳拖	(jiā jiǎo tuō)
夾腳拖鞋	(jiá jiǎo tuō xié)
夾緊	(jiā jǐn)
夾具	(jiā jù)
夾克	(jiā kè)
夾鏈袋	(jiā liàn dài)
夾盤	(jiā pán)
夾批	(jiā pī)
夾七夾八	(jiā qī jiā bā)
夾起尾巴	(jiā qǐ wěi ba)
夾鉗	(jiā qián)
夾塞兒	(jiā sāi r)
夾山國家森林公園	(jiā shān guó jiā sēn lín gōng yuán)
夾山寺	(jiā shān sì)
夾生	(jiā shēng)
夾生飯	(jiā shēng fàn)
夾頭	(jiā tóu)
夾娃娃	(jiā wá wa)
夾尾巴	(jiā wěi ba)
夾餡	(jiā xiàn)
夾心	(jiā xīn)
夾心餅乾	(jiā xīn bǐng gān)
夾心族	(jiā xīn zú)
夾雜	(jiā zá)
夾肢窩	(gā zhi wō)
夾竹桃	(jiā zhú táo)
夾子	(jiā zi)
夾子音	(jiā zi yīn)
恝	(jiá)
唊	(jiá)
戛	(jiá)
戛戛	(jiá jiá)
戛戛獨造	(jiá jiá dú zào)
戛納	(gā nà)
戛然	(jiá rán)
戛然而止	(jiá rán ér zhǐ)
戞	(jiá)
䛟	(jiá)
岬	(jiǎ)
岬角	(jiǎ jiǎo)
叚	(jiǎ)
斚	(jiǎ)
假	(jià)
假案	(jiǎ àn)
假掰	(gēi bāi)
假扮	(jiǎ bàn)
假報告	(jiǎ bào gào)
假幣	(jiǎ bì)
假別	(jià bié)
假唱	(jiǎ chàng)
假鈔	(jiǎ chāo)
假稱	(jiǎ chēng)
假秤	(jiǎ chèng)
假充	(jiǎ chōng)
假慈悲	(jiǎ cí bēi)
假大空	(jiǎ dà kōng)
假道	(jiǎ dào)
假道伐虢	(jiǎ dào fá guó)
假定	(jiǎ dìng)
假動作	(jiǎ dòng zuò)
假髮	(jiǎ fà)
假分數	(jiǎ fēn shù)
假高音	(jiǎ gāo yīn)
假公濟私	(jiǎ gōng jì sī)
假拱	(jiǎ gǒng)
假話	(jiǎ huà)
假貨	(jiǎ huò)
假借	(jiǎ jiè)
假借義	(jiǎ jiè yì)
假借字	(jiǎ jiè zì)
假肯定句	(jiǎ kěn dìng jù)
假吏	(jiǎ lì)
假令	(jiǎ lìng)
假冒	(jiǎ mào)
假冒品	(jiǎ mào pǐn)
假冒偽劣	(jiǎ mào wěi liè)
假寐	(jiǎ mèi)
假面	(jiǎ miàn)
假面具	(jiǎ miàn jù)
假面舞會	(jiǎ miàn wǔ huì)
假名	(jiǎ míng)
假期	(jià qī)
假球	(jiǎ qiú)
假人	(jiǎ rén)
假人像	(jiǎ rén xiàng)
假仁假義	(jiǎ rén jiǎ yì)
假日	(jià rì)
假若	(jiǎ ruò)
假嗓	(jiǎ sǎng)
假嗓子	(jiǎ sǎng zi)
假山	(jiǎ shān)
假善人	(jiǎ shàn rén)
假設	(jiǎ shè)
假設性	(jiǎ shè xìng)
假設語氣	(jiǎ shè yǔ qì)
假聲	(jiǎ shēng)
假使	(jiǎ shǐ)
假釋	(jiǎ shì)
假手	(jiǎ shǒu)
假手他人	(jiǎ shǒu tā rén)
假手於人	(jiǎ shǒu yú rén)
假摔	(jiǎ shuāi)
假說	(jiǎ shuō)
假死	(jiǎ sǐ)
假體	(jiǎ tǐ)
假條	(jià tiáo)
假途滅虢	(jiǎ tú miè guó)
假腿	(jiǎ tuǐ)
假托	(jiǎ tuō)
假託	(jiǎ tuō)
假戲真唱	(jiǎ xì zhēn chàng)
假仙	(jiǎ xiān)
假想	(jiǎ xiǎng)
假想敵	(jiǎ xiǎng dí)
假象	(jiǎ xiàng)
假象牙	(jiǎ xiàng yá)
假小子	(jiǎ xiǎo zi)
假惺惺	(jiǎ xīng xīng)
假性	(jiǎ xìng)
假性近視	(jiǎ xìng jìn shì)
假牙	(jiǎ yá)
假芫茜	(jiǎ yuán qiàn)
假眼	(jiǎ yǎn)
假洋鬼子	(jiǎ yáng guǐ zi)
假陽性	(jiǎ yáng xìng)
假藥	(jiǎ yào)
假一賠十	(jiǎ yī péi shí)
假意	(jiǎ yì)
假音	(jiǎ yīn)
假陰性	(jiǎ yīn xìng)
假造	(jiǎ zào)
假賬	(jiǎ zhàng)
假招子	(jiǎ zhāo zi)
假正經	(jiǎ zhèng jīng)
假證	(jiǎ zhèng)
假證件	(jiǎ zhèng jiàn)
假肢	(jiǎ zhī)
假種皮	(jiǎ zhǒng pí)
假裝	(jiǎ zhuāng)
假子	(jiǎ zǐ)
假作	(jiǎ zuò)
假座	(jiǎ zuò)
斝	(jiǎ)
婽	(jiǎ)
榎	(jiǎ)
檟	(jiǎ)
价	(jiè)
架	(jià)
架不住	(jià bu zhù)
架次	(jià cì)
架二郎腿	(jià èr láng tuǐ)
架構	(jià gòu)
架構師	(jià gòu shī)
架拐	(jià guǎi)
架空	(jià kōng)
架空歷史	(jià kōng lì shǐ)
架空索道	(jià kōng suǒ dào)
架橋	(jià qiáo)
架上繪畫	(jià shàng huì huà)
架設	(jià shè)
架式	(jià shi)
架勢	(jià shi)
架子	(jià zi)
架子車	(jià zi chē)
架子鼓	(jià zi gǔ)
架子豬	(jià zi zhū)
架走	(jià zǒu)
幏	(jià)
嫁	(jià)
嫁禍	(jià huò)
嫁禍於人	(jià huò yú rén)
嫁雞隨雞	(jià jī suí jī)
嫁雞隨雞，嫁狗隨狗	(jià jī suí jī , jià gǒu suí gǒu)
嫁接	(jià jiē)
嫁女	(jià nǚ)
嫁娶	(jià qǔ)
嫁人	(jià rén)
嫁妝	(jià zhuang)
嫁裝	(jià zhuang)
嫁資	(jià zī)
價	(jie)
價層	(jià céng)
價差	(jià chā)
價電子	(jià diàn zǐ)
價格	(jià gé)
價格標籤	(jià gé biāo qiān)
價格表	(jià gé biǎo)
價格戰	(jià gé zhàn)
價鍵	(jià jiàn)
價款	(jià kuǎn)
價廉物美	(jià lián wù měi)
價碼	(jià mǎ)
價目	(jià mù)
價簽	(jià qiān)
價錢	(jià qian)
價位	(jià wèi)
價值	(jià zhí)
價值標準	(jià zhí biāo zhǔn)
價值工程	(jià zhí gōng chéng)
價值觀	(jià zhí guān)
價值連城	(jià zhí lián chéng)
價值量	(jià zhí liàng)
價值增殖	(jià zhí zēng zhí)
幵	(qiān)
尖	(jiān)
尖草坪區	(jiān cǎo píng qū)
尖刀	(jiān dāo)
尖頂	(jiān dǐng)
尖端	(jiān duān)
尖峰	(jiān fēng)
尖閣列島	(jiān gé liè dǎo)
尖管麵	(jiān guǎn miàn)
尖尖	(jiān jiān)
尖椒	(jiān jiāo)
尖叫	(jiān jiào)
尖叫雞	(jiān jiào jī)
尖刻	(jiān kè)
尖括號	(jiān kuò hào)
尖利	(jiān lì)
尖厲	(jiān lì)
尖銳	(jiān ruì)
尖銳化	(jiān ruì huà)
尖銳批評	(jiān ruì pī píng)
尖銳濕疣	(jiān ruì shī yóu)
尖沙咀	(jiān shā zuǐ)
尖山區	(jiān shān qū)
尖聲啼哭	(jiān shēng tí kū)
尖石	(jiān shí)
尖石鄉	(jiān shí xiāng)
尖酸	(jiān suān)
尖酸刻薄	(jiān suān kè bó)
尖塔	(jiān tǎ)
尖頭	(jiān tóu)
尖頭鱥	(jiān tóu guì)
尖尾濱鷸	(jiān wěi bīn yù)
尖吻鱸	(jiān wěn lú)
尖細	(jiān xì)
尖新	(jiān xīn)
尖牙	(jiān yá)
尖扎縣	(jiān zhā xiàn)
尖窄	(jiān zhǎi)
尖子	(jiān zi)
尖子生	(jiān zi shēng)
尖嘴魚	(jiān zuǐ yú)
奸	(jiān)
奸臣	(jiān chén)
奸黨	(jiān dǎng)
奸惡	(jiān è)
奸夫	(jiān fū)
奸官	(jiān guān)
奸官污吏	(jiān guān wū lì)
奸宄	(jiān guǐ)
奸猾	(jiān huá)
奸滑	(jiān huá)
奸計	(jiān jì)
奸狡	(jiān jiǎo)
奸民	(jiān mín)
奸佞	(jiān nìng)
奸人	(jiān rén)
奸商	(jiān shāng)
奸徒	(jiān tú)
奸細	(jiān xi)
奸險	(jiān xiǎn)
奸笑	(jiān xiào)
奸邪	(jiān xié)
奸賊	(jiān zéi)
奸詐	(jiān zhà)
戔	(jiān)
戔戔	(jiān jiān)
姧	(jiān)
姦	(jiān)
姦夫淫婦	(jiān fū yín fù)
姦情	(jiān qíng)
姦殺	(jiān shā)
姦屍	(jiān shī)
姦宿	(jiān sù)
姦污	(jiān wū)
姦雄	(jiān xióng)
姦淫	(jiān yín)
兼	(jiān)
兼愛	(jiān ài)
兼備	(jiān bèi)
兼併	(jiān bìng)
兼並與收購	(jiān bìng yǔ shōu gòu)
兼差	(jiān chāi)
兼程	(jiān chéng)
兼而有之	(jiān ér yǒu zhī)
兼顧	(jiān gù)
兼濟天下	(jiān jì tiān xià)
兼具	(jiān jù)
兼課	(jiān kè)
兼任	(jiān rèn)
兼容	(jiān róng)
兼容並包	(jiān róng bìng bāo)
兼容性	(jiān róng xìng)
兼善天下	(jiān shàn tiān xià)
兼施	(jiān shī)
兼收並蓄	(jiān shōu bìng xù)
兼聽則明，偏信則暗	(jiān tīng zé míng , piān xìn zé àn)
兼蓄	(jiān xù)
兼營	(jiān yíng)
兼優	(jiān yōu)
兼有	(jiān yǒu)
兼職	(jiān zhí)
堅	(jiān)
堅壁	(jiān bì)
堅壁清野	(jiān bì qīng yě)
堅冰	(jiān bīng)
堅不可摧	(jiān bù kě cuī)
堅稱	(jiān chēng)
堅持	(jiān chí)
堅持不懈	(jiān chí bù xiè)
堅持不渝	(jiān chí bù yú)
堅持下去	(jiān chí xià qù)
堅定	(jiān dìng)
堅定不移	(jiān dìng bù yí)
堅定性	(jiān dìng xìng)
堅戈	(jiān gē)
堅固	(jiān gù)
堅固性	(jiān gù xìng)
堅果	(jiān guǒ)
堅決	(jiān jué)
堅苦卓絕	(jiān kǔ zhuó jué)
堅牢	(jiān láo)
堅明	(jiān míng)
堅強	(jiān qiáng)
堅強不屈	(jiān qiáng bù qū)
堅忍	(jiān rěn)
堅忍不拔	(jiān rěn bù bá)
堅韌	(jiān rèn)
堅韌不拔	(jiān rèn bù bá)
堅如磐石	(jiān rú pán shí)
堅若磐石	(jiān ruò pán shí)
堅實	(jiān shí)
堅守	(jiān shǒu)
堅挺	(jiān tǐng)
堅信	(jiān xìn)
堅信禮	(jiān xìn lǐ)
堅毅	(jiān yì)
堅硬	(jiān yìng)
堅貞	(jiān zhēn)
堅貞不屈	(jiān zhēn bù qū)
堅貞不渝	(jiān zhēn bù yú)
堅振	(jiān zhèn)
堅振禮	(jiān zhèn lǐ)
堅執	(jiān zhí)
堅緻	(jiān zhì)
揃	(jiān)
傔	(qiàn)
搛	(jiān)
椷	(jiān)
椾	(jiān)
殲	(jiān)
殲擊	(jiān jī)
殲擊機	(jiān jī jī)
殲滅	(jiān miè)
囝	(jiǎn)
囝仔	(jiǎn zǐ)
柬	(jiǎn)
柬埔寨	(jiǎn pǔ zhài)
梘	(jiǎn)
剪	(jiǎn)
剪報	(jiǎn bào)
剪裁	(jiǎn cái)
剪彩	(jiǎn cǎi)
剪綵	(jiǎn cǎi)
剪草除根	(jiǎn cǎo chú gēn)
剪草機	(jiǎn cǎo jī)
剪成	(jiǎn chéng)
剪除	(jiǎn chú)
剪刀	(jiǎn dāo)
